City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Ukiah,US,39.1502,-123.2078,69.8,32,1,2.89,clear sky
110,Avarua,CK,-21.2078,-159.775,84.2,74,20,12.66,light rain
111,Requena,ES,39.4883,-1.1004,54.0,76,100,26.46,overcast clouds
112,Krasnyy Yar,RU,46.5331,48.3456,17.6,67,0,6.71,clear sky
113,Bukachacha,RU,52.9833,116.9167,-12.39,86,92,2.28,overcast clouds
114,Nemuro,JP,43.3236,145.575,10.4,85,20,4.61,few clouds
115,Mastic Beach,US,40.7668,-72.8521,30.2,86,40,9.22,scattered clouds
116,Lompoc,US,34.6391,-120.4579,60.01,77,1,9.22,clear sky
117,San Rafael,AR,-34.6177,-68.3301,67.8,51,91,15.19,overcast clouds
118,College,US,64.8569,-147.8028,-9.4,70,20,6.91,few clouds
119,Torbay,CA,47.6666,-52.7314,30.99,69,20,36.82,few clouds
120,Hermanus,ZA,-34.4187,19.2345,55.99,90,0,1.57,clear sky
121,Farafangana,MG,-22.8167,47.8333,77.94,89,67,10.0,broken clouds
122,Payson,US,40.0444,-111.7321,50.0,29,40,6.91,scattered clouds
123,East London,ZA,-33.0153,27.9116,70.59,81,100,9.24,light rain
124,Ilulissat,GL,69.2167,-51.1,19.4,45,0,14.97,clear sky
125,Bairiki,KI,1.3292,172.9752,84.2,79,20,12.66,few clouds
126,Juneau,US,58.3019,-134.4197,12.99,100,18,6.51,few clouds
127,Severo-Kurilsk,RU,50.6789,156.125,25.18,91,59,18.52,broken clouds
128,Souillac,MU,-20.5167,57.5167,78.8,83,40,6.91,light rain
129,Praia,CV,14.9215,-23.5087,68.0,68,75,19.57,broken clouds
130,Aklavik,CA,68.2191,-135.0107,-22.0,76,100,8.05,overcast clouds
131,Qaqortoq,GL,60.7167,-46.0333,37.4,28,100,44.87,overcast clouds
132,Coquimbo,CL,-29.9533,-71.3436,62.6,72,0,11.5,clear sky
133,Taksimo,RU,56.3444,114.8794,-2.87,87,100,1.01,overcast clouds
134,Sabang,ID,5.8933,95.3214,81.81,78,12,15.5,few clouds
135,Touros,BR,-5.1989,-35.4608,80.6,78,40,11.5,scattered clouds
136,Vincennes,FR,48.85,2.4333,33.01,80,90,4.61,overcast clouds
137,Chokurdakh,RU,70.6333,147.9167,-15.34,88,100,7.94,overcast clouds
138,Tasiilaq,GL,65.6145,-37.6368,26.6,46,0,19.57,clear sky
139,Iracoubo,GF,5.4802,-53.2011,78.17,82,100,13.89,overcast clouds
140,Gazli,UZ,40.1333,63.45,51.69,71,100,4.85,overcast clouds
141,Pedernales,DO,18.0384,-71.744,77.99,68,30,7.38,scattered clouds
142,Sorong,ID,-0.8833,131.25,83.46,73,100,4.36,overcast clouds
143,Kaitangata,NZ,-46.2817,169.8464,64.99,86,100,8.01,overcast clouds
144,Masuda,JP,34.6667,131.85,46.4,61,75,17.27,broken clouds
145,Sabha,LY,27.0377,14.4283,67.03,25,100,13.67,overcast clouds
146,Ca Mau,VN,9.1769,105.15,78.85,74,25,10.8,scattered clouds
147,Eureka,US,40.8021,-124.1637,53.01,76,1,10.36,clear sky
148,Tiksi,RU,71.6872,128.8694,-29.27,86,74,5.55,broken clouds
149,Mattawa,US,46.7379,-119.9028,48.2,40,40,8.05,scattered clouds
150,Arona,ES,28.0996,-16.681,62.01,77,75,4.61,broken clouds
151,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.19,80,100,8.72,overcast clouds
152,Qingdao,CN,36.0986,120.3719,30.99,74,0,2.24,clear sky
153,Hasaki,JP,35.7333,140.8333,43.0,52,75,6.91,broken clouds
154,Zychlin,PL,52.244,19.6261,15.01,79,20,21.85,light snow
155,Champerico,GT,14.3,-91.9167,89.6,51,20,6.91,few clouds
156,Upernavik,GL,72.7868,-56.1549,18.14,79,43,4.59,scattered clouds
157,Ixtapa,MX,20.7,-105.2,73.4,73,1,11.5,clear sky
158,Zhangjiakou,CN,40.81,114.8794,19.78,76,0,3.96,clear sky
159,Vardo,NO,70.3705,31.1107,24.57,92,98,27.63,light snow
160,Carnaiba,BR,-8.7,-37.6667,78.19,60,100,8.32,overcast clouds
161,Dikson,RU,73.5069,80.5464,-32.35,85,84,15.17,broken clouds
162,Arraial Do Cabo,BR,-22.9661,-42.0278,75.04,81,100,5.64,overcast clouds
163,Mayumba,GA,-3.432,10.6554,78.31,85,100,4.05,light rain
164,Ghanzi,BW,-21.5667,21.7833,64.44,96,100,9.46,light rain
165,Poum,NC,-20.2333,164.0167,80.85,69,2,7.23,clear sky
166,Grand-Santi,GF,4.25,-54.3833,73.13,96,100,2.64,overcast clouds
167,Mahebourg,MU,-20.4081,57.7,78.8,83,40,6.91,scattered clouds
168,Kuala Terengganu,MY,5.3302,103.1408,77.0,94,40,3.44,scattered clouds
169,Pangnirtung,CA,66.1451,-65.7125,26.55,77,0,9.8,clear sky
170,Pevek,RU,69.7008,170.3133,-5.1,82,0,2.57,clear sky
171,Katowice,PL,50.2584,19.0275,19.99,91,100,13.0,snow
172,Mwene-Ditu,CD,-7.0,23.45,65.86,96,100,3.22,overcast clouds
173,Atuona,PF,-9.8,-139.0333,79.72,73,14,20.71,few clouds
174,Batsfjord,NO,70.6345,29.7185,22.55,93,100,24.16,light snow
175,Yerbogachen,RU,61.2767,108.0108,23.25,98,100,5.14,light snow
176,Hameenlinna,FI,60.996,24.4643,19.4,79,90,4.61,light snow
177,Teruel,ES,40.6667,-0.6667,46.4,75,20,5.75,few clouds
178,Sarangani,PH,5.4033,125.4636,81.43,76,100,4.65,overcast clouds
179,Bethel,US,41.3712,-73.414,28.0,92,100,8.55,light snow
